TIME;drivetrain/gearbox/rpmMatchingRpmTarget;engine/rpm;drivetrain/gearbox/dsg/nextGear;sensors/gear;drivetrain/gearbox/state;drivetrain/gearbox/dsg/diagnosticFlags;drivetrain/gearSelector/position;drivetrain/gearbox/dsg/gearSelectorPosition;drivetrain/gearbox/stateTimer;drivetrain/torqueEstimation/engineTorquePercent;drivetrain/torqueEstimation/dsgEngineTorquePercent;drivetrain/gearbox/dsg/requestedTorque;ignition/angle;drivetrain/gearbox/torqueReduction/dbwCorrection;drivetrain/gearbox/torqueReduction/cylinderCut;drivetrain/gearbox/torqueReduction/ignCorrection;drivetrain/gearbox/torqueReduction;sensors/tps1;dbw/target
4.420;;1116;;;;;;;;;;;;;;;;;
4.440;;1116;0;-3;0;;0;0;;;;0.000;7.900;;0.000;;;4.400;4.400
4.460;;1119;;;;;;;;;;;;;;;;;
4.480;;1122;;;;;;;;;;;7.700;;;;;4.400;4.400
4.500;0;1122;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
4.520;;1117;;;;;;;;;;;7.500;;;;;4.400;4.400
4.540;;1110;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
4.560;;1107;;;;;;;;;;;8.200;;;;;4.400;4.400
4.580;;1104;;;;;;;;;;;;;;;;;
4.600;0;1101;;;;0;;;0;0.000;0.000;;8.500;0.000;;0.000;0.000;4.400;4.400
4.620;;1095;;;;;;;;;;;;;;;;;
4.640;;1091;0;-3;0;;0;0;;;;0.000;9.100;;0.000;;;4.400;4.400
4.660;;1089;;;;;;;;;;;;;;;;;
4.680;;1085;;;;;;;;;;;9.400;;;;;4.400;4.400
4.700;0;1082;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
4.720;;1074;;;;;;;;;;;9.800;;;;;4.400;4.400
4.740;;1071;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
4.760;;1074;;;;;;;;;;;10.600;;;;;4.400;4.400
4.780;;1081;;;;;;;;;;;;;;;;;
4.800;0;1083;;;;0;;;0;0.000;0.000;;10.000;0.000;;0.000;0.000;4.400;4.400
4.820;;1077;;;;;;;;;;;;;;;;;
4.840;;1073;0;-3;0;;0;0;;;;0.000;10.300;;0.000;;;4.400;4.400
4.860;;1074;;;;;;;;;;;;;;;;;
4.880;;1077;;;;;;;;;;;10.500;;;;;4.400;4.400
4.900;0;1073;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
4.920;;1064;;;;;;;;;;;10.700;;;;;4.400;4.400
4.940;;1060;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
4.960;;1069;;;;;;;;;;;11.500;;;;;4.400;4.400
4.980;;1085;;;;;;;;;;;;;;;;;
5.000;0;1096;;;;0;;;0;0.000;0.000;;10.000;0.000;;0.000;0.000;4.400;4.400
5.020;;1101;;;;;;;;;;;;;;;;;
5.040;;1107;0;-3;0;;0;0;;;;0.000;9.100;;0.000;;;4.400;4.400
5.060;;1112;;;;;;;;;;;;;;;;;
5.080;;1110;;;;;;;;;;;8.400;;;;;4.400;4.400
5.100;0;1100;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
5.120;;1085;;;;;;;;;;;9.200;;;;;4.400;4.400
5.140;;1076;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
5.160;;1077;;;;;;;;;;;10.600;;;;;4.400;4.400
5.180;;1085;;;;;;;;;;;;;;;;;
5.200;0;1093;;;;0;;;0;0.000;0.000;;10.000;0.000;;0.000;0.000;4.400;4.400
5.220;;1100;;;;;;;;;;;;;;;;;
5.240;;1104;0;-3;0;;0;0;;;;0.000;9.200;;0.000;;;4.400;4.400
5.260;;1108;;;;;;;;;;;;;;;;;
5.280;;1112;;;;;;;;;;;8.600;;;;;4.400;4.400
5.300;0;1115;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
5.320;;1116;;;;;;;;;;;8.200;;;;;4.400;4.400
5.340;;1119;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
5.360;;1121;;;;;;;;;;;7.900;;;;;4.400;4.400
5.380;;1125;;;;;;;;;;;;;;;;;
5.400;0;1124;;;;0;;;0;0.000;0.000;;7.600;0.000;;0.000;0.000;4.400;4.400
5.420;;1123;;;;;;;;;;;;;;;;;
5.440;;1117;0;-3;0;;0;0;;;;0.000;7.600;;0.000;;;4.400;4.400
5.460;;1113;;;;;;;;;;;;;;;;;
5.480;;1114;;;;;;;;;;;8.200;;;;;4.400;4.400
5.500;0;1113;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
5.520;;1107;;;;;;;;;;;8.100;;;;;4.400;4.400
5.540;;1104;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
5.560;;1103;;;;;;;;;;;8.600;;;;;4.400;4.400
5.580;;1102;;;;;;;;;;;;;;;;;
5.600;0;1099;;;;0;;;0;0.000;0.000;;8.700;0.000;;0.000;0.000;4.400;4.400
5.620;;1105;;;;;;;;;;;;;;;;;
5.640;;1110;0;-3;0;;0;0;;;;0.000;8.500;;0.000;;;4.400;4.400
5.660;;1115;;;;;;;;;;;;;;;;;
5.680;;1119;;;;;;;;;;;7.900;;;;;4.400;4.400
5.700;0;1118;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
5.720;;1115;;;;;;;;;;;7.600;;;;;4.400;4.400
5.740;;1115;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
5.760;;1117;;;;;;;;;;;7.800;;;;;4.400;4.400
5.780;;1121;;;;;;;;;;;;;;;;;
5.800;0;1118;;;;0;;;0;0.000;0.000;;7.300;0.000;;0.000;0.000;4.400;4.400
5.820;;1114;;;;;;;;;;;;;;;;;
5.840;;1111;0;-3;0;;0;0;;;;0.000;7.800;;0.000;;;4.400;4.400
5.860;;1111;;;;;;;;;;;;;;;;;
5.880;;1114;;;;;;;;;;;7.900;;;;;4.400;4.400
5.900;0;1111;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
5.920;;1113;;;;;;;;;;;7.800;;;;;4.400;4.400
5.940;;1116;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
5.960;;1119;;;;;;;;;;;7.400;;;;;4.400;4.400
5.980;;1121;;;;;;;;;;;;;;;;;
6.000;0;1125;;;;0;;;0;0.000;0.000;;7.100;0.000;;0.000;0.000;4.400;4.400
6.020;;1123;;;;;;;;;;;;;;;;;
6.040;;1119;0;-3;0;;0;0;;;;0.000;6.900;;0.000;;;4.400;4.400
6.060;;1114;;;;;;;;;;;;;;;;;
6.080;;1107;;;;;;;;;;;7.500;;;;;4.400;4.400
6.100;0;1093;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
6.120;;1084;;;;;;;;;;;8.800;;;;;4.400;4.400
6.140;;1079;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
6.160;;1081;;;;;;;;;;;9.600;;;;;4.400;4.400
6.180;;1086;;;;;;;;;;;;;;;;;
6.200;0;1093;;;;0;;;0;0.000;0.000;;9.100;0.000;;0.000;0.000;4.400;4.400
6.220;;1098;;;;;;;;;;;;;;;;;
6.240;;1097;0;-3;0;;0;0;;;;0.000;8.500;;0.000;;;4.400;4.400
6.260;;1093;;;;;;;;;;;;;;;;;
6.280;;1091;;;;;;;;;;;8.800;;;;;4.400;4.400
6.300;0;1087;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
6.320;;1079;;;;;;;;;;;9.200;;;;;4.400;4.400
6.340;;1069;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
6.360;;1068;;;;;;;;;;;10.300;;;;;4.400;4.400
6.380;;1073;;;;;;;;;;;;;;;;;
6.400;0;1080;;;;0;;;0;0.000;0.000;;10.000;0.000;;0.000;0.000;4.400;4.400
6.420;;1090;;;;;;;;;;;;;;;;;
6.440;;1097;0;-3;0;;0;0;;;;0.000;9.000;;0.000;;;4.400;4.400
6.460;;1100;;;;;;;;;;;;;;;;;
6.480;;1106;;;;;;;;;;;8.500;;;;;4.400;4.400
6.500;0;1111;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
6.520;;1107;;;;;;;;;;;7.800;;;;;4.400;4.400
6.540;;1097;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
6.560;;1092;;;;;;;;;;;8.600;;;;;4.400;4.400
